Disease name,Text,cluster
Athlete's Foot (Tinea Pedis),"""I noticed some dry, flaky patches on my feet, and they itch sometimes. But I'm worried because I have diabetes, and I know foot problems can be serious.""",0
Athlete's Foot (Tinea Pedis),"""After my recent trip abroad, my feet started itching like crazy. The skin between my toes is cracked and red, and it seems to be spreading. I think I used shared sandals at the beach.""",2
Athlete's Foot (Tinea Pedis),"Athlete's Foot, medically termed Tinea Pedis, presents with several distinct symptoms. It typically begins with itching and burning sensations, often between the toes. As it progresses, the skin becomes increasingly red, scaly, and may peel or crack, leading to soreness and discomfort. In some cases, blisters may form, oozing fluid and contributing to the overall discomfort. The affected area often exhibits a foul odor, and if left untreated, the infection can spread to other parts of the foot. Athlete's Foot symptoms vary in intensity, but prompt treatment, proper hygiene, and antifungal medications can effectively alleviate the condition.",0
Athlete's Foot (Tinea Pedis),"""My feet feel tender and sore, especially between my toes. And the skin there looks kind of discolored and thickened. I haven't had anything like this before.""",1
Athlete's Foot (Tinea Pedis),"""My feet are killing me! They're itchy and burning, and the skin on the bottoms feels scaly and dry. It's really affecting my practice, I can barely lift my feet anymore.""",0
Athlete's Foot (Tinea Pedis),"""It's embarrassing, but my feet smell awful! And they've been itchy and red around the toes for weeks. I thought it was just sweat, but it's getting worse.""",0
Athlete's Foot (Tinea Pedis),"""My toenails look awful! They're discolored and crumbling, and the skin around them is red and swollen. I bite my nails sometimes, could that be related?""",1
Athlete's Foot (Tinea Pedis),"""Doc, my feet have been itching like crazy lately, especially between my toes. It's worse after runs, and the skin between my toes is starting to look red and cracked.""",2
Athlete's Foot (Tinea Pedis),"""After spending all summer at the pool, my feet started to itch and peel between my toes. The skin is raw and burning now, and I'm worried it might be something contagious.""",1
Athlete's Foot (Tinea Pedis),"""After training today, my feet felt hot and inflamed, especially around the arches. Now, they're itching like crazy, and there's this weird white peeling between my toes.""",1
Athlete's Foot (Tinea Pedis),"""Mommy, my feet itch so much I can't stop scratching! And they look funny between my toes, like there's white skin peeling off.""",1
Athlete's Foot (Tinea Pedis),"`` atomic number 53 noticed some dry , flaky dapple on my pes , and they scabies sometimes . merely I 'm worried because iodine wealthy person diabetes , and I know foot problems can be serious . ''",0
Athlete's Foot (Tinea Pedis),"`` I detect some prohibitionist , flaky dapple on my human foot , and they itch sometimes . But I 'm worried because iodine have diabetes , and I know foot problems can be serious . ''",0
Athlete's Foot (Tinea Pedis),"`` iodine noticed some dry , flaky speckle on my feet , and they scabies sometimes . merely I 'm worried because I have diabetes , and atomic number 53 know foot problems can atomic number 4 serious . ''",0
Athlete's Foot (Tinea Pedis),"Athlete 's pes , medically termed roundworm Pedis , nowadays with several distinguishable symptoms . It typically Begin with itching and burning sensations , frequently between the toes . As it progresses , the tegument go increasingly red , scaly , and may peel or crack , lead to soreness and discomfort . inch some cases , blisters may form , oozing fluid and contribute to the overall discomfort . The affected area often exhibits a foul odor , and if left untreated , the infection can spread to other parts of the foot . Athlete 's pes symptoms alter inch intensity , but prompt treatment , proper hygiene , and fungicide medications tin can effectively alleviate the status .",0
Athlete's Foot (Tinea Pedis),"Athlete 's Foot , medically termed ringworm Pedis , presents with several distinct symptom . It typically begins with itching and burning sensations , often between the toes . atomic number 33 it progresses , the tegument becomes increasingly redness , scaly , and may peel or crevice , leading to soreness and discomfort . In some cases , blisters may word form , oozing fluid and contributing to the overall discomfort . The touch on area often exhibits angstrom foul olfactory property , and if left untreated , the infection can spreading to other parts of the foot . Athlete 's Foot symptoms vary in intensity level , simply prompt treatment , proper hygiene , and fungicide medication can efficaciously alleviate the status .",0
Athlete's Foot (Tinea Pedis),"Athlete 's Foot , medically termed Tinea Pedis , presents with several distinct symptom . information technology typically Menachem Begin with itching and burning sensations , oft betwixt the toes . As information technology progresses , the skin get increasingly red , scabrous , and may peel or crack , leading to rawness and discomfort . In some cases , blisters may form , ooze fluid and lend to the overall discomfort . The affected area often exhibits a foul smell , and if left untreated , the infection can spreading to other parts of the foot . jock 's human foot symptoms alter inch intensity , but prompting treatment , proper hygiene , and antifungal medications tin effectively alleviate the condition .",0
Athlete's Foot (Tinea Pedis),"`` My feet ar killing Pine Tree State ! They 're fretful and burning , and the skin on the undersurface feels scaly and prohibitionist . It 's really affect my practice , I can just lift my feet anymore . ''",0
Athlete's Foot (Tinea Pedis),"`` My feet are killing me ! They 're itchy and burning , and the skin on the undersurface feels leprose and dry . information technology 's really impact my practice , I can barely lift my feet any longer . ''",0
Athlete's Foot (Tinea Pedis),"`` My feet ar violent death Maine ! They 're itchy and burning , and the skin on the bottoms feels leprose and dry . information technology 's genuinely touch on my practice , iodine can barely lift my feet anymore . ''",0
Athlete's Foot (Tinea Pedis),"`` It 's embarrassing , but my feet smell awful ! And they 've been antsy and redness around the toes for weeks . atomic number 53 thought it was just sweat , but it 's getting worse . ''",0
Athlete's Foot (Tinea Pedis),"`` It 's abash , but my feet smell awful ! And they 've been fretful and redness about the toes for weeks . iodin idea it was just sweat , but information technology 's getting worse . ''",0
Athlete's Foot (Tinea Pedis),"`` information technology 's embarrass , only my feet smell dreadful ! And they 've been fidgety and redness around the toe for weeks . I thought information technology was just sudor , but it 's acquiring worse . ''",0
Athlete's Foot (Tinea Pedis),"`` My feet feel stamp and sore , especially between my toes . And the tegument there look kind of discolored and inspissate . I have n't have anything the like this earlier . ''",1
Athlete's Foot (Tinea Pedis),"`` My foot feel tender and sore , especially between my toe . And the skin there looks kind of discolored and thicken . iodin have n't hold anything like this before . ''",1
Athlete's Foot (Tinea Pedis),"`` My feet feel tender and sore , peculiarly between my toes . And the skin there looks kind of discolored and inspissate . I rich person n't have anything like this before . ''",1
Athlete's Foot (Tinea Pedis),"`` My toenails look dreadful ! They 're discolored and crumbling , and the cutis around them is redness and swell . atomic number 53 bite my nails sometimes , could that be related ? ''",1
Athlete's Foot (Tinea Pedis),"`` My toenail look awful ! They 're discolored and crumbling , and the skin around them is red and swollen . I bite my nails sometimes , could that be related ? ''",1
