Disease name,Text,cluster
Contact Dermatitis," ""My hands are dry and cracked, and the skin is peeling off in some places. I use a lot of chemicals and oils at work, could that be causing it?""",0
Contact Dermatitis," ""My feet are burning and itching after my run. They're red and swollen, especially around my toes. I think it might be my new running shoes, they feel a bit tight.""",2
Contact Dermatitis," ""My arms and legs are covered in this rash. It's itchy and bumpy, and some of the bumps are oozing clear fluid. I've been working in the garden all day, could it be something I touched out there?""",1
Contact Dermatitis," ""My hands are dry and cracked, and the skin is peeling off in some places. I use a lot of chemicals and oils at work, could that be causing it?""",0
Contact Dermatitis," ""My hands are dry and cracked, and the skin is peeling off in some places. I use a lot of chemicals and oils at work, could that be causing it?""",0
Contact Dermatitis," ""Doctor, my hands have been itchy and red all week. They're cracked and swollen, and it feels like tiny blisters are forming. I think it might be something I'm touching at work, maybe the new cleaning products?""",2
Contact Dermatitis," ""My hands are dry and cracked, and the skin is peeling off in some places. I use a lot of chemicals and oils at work, could that be causing it?""",0
Contact Dermatitis,"""My eyelids are swollen and puffy, and they feel itchy and sore. I tried a new eyeshadow yesterday, could that be it?""",1
Contact Dermatitis,"Contact dermatitis presents with several characteristic symptoms upon skin exposure to irritants or allergens. These include redness, itching, and skin inflammation, often accompanied by a rash or blisters. The affected area might develop dryness, scaling, or thickening of the skin. Pain or tenderness can also be experienced. Contact dermatitis can manifest differently based on the irritant or allergen encountered, with symptoms appearing immediately or after prolonged exposure. In severe cases, symptoms may extend beyond the contact area, causing discomfort. Prompt identification of triggers and avoidance is essential for managing this condition effectively.",0
Contact Dermatitis," ""My hands are dry and cracked, and the skin is peeling off in some places. I use a lot of chemicals and oils at work, could that be causing it?""",0
Contact Dermatitis," ""My neck is red and irritated, and the new necklace I got keeps leaving a mark. It didn't bother me at first, but now it's really itchy and uncomfortable.""",1
Contact Dermatitis,"`` My hands are dry and cracked , and the skin be peeling remove in some places . I use angstrom unit lot of chemicals and oils at work , could that be causing it ? ''",0
Contact Dermatitis,"`` My hands are prohibitionist and cracked , and the skin be peeling murder inch some places . I use angstrom lot of chemicals and oil at work , could that be causation it ? ''",0
Contact Dermatitis,"`` My custody are prohibitionist and crack , and the cutis is peeling murder in some places . iodin utilization angstrom lot of chemicals and oils astatine work , could that glucinium causing information technology ? ''",0
Contact Dermatitis,"`` My custody are dry and cracked , and the skin be shedding off in some places . I exercise a lot of chemicals and oils at work , could that be causation it ? ''",0
Contact Dermatitis,"`` My hands ar dry and cracked , and the skin is peeling dispatch in some places . I use a muckle of chemicals and oils at work , could that be causation it ? ''",0
Contact Dermatitis,"`` My hands ar prohibitionist and cracked , and the skin is peeling off inch some places . I use a lot of chemicals and oil astatine work , could that be causing information technology ? ''",0
Contact Dermatitis,"`` My hands are dry and break , and the skin is peeling off inch some topographic point . I use a lot of chemicals and oils at work , could that glucinium causing information technology ? ''",0
Contact Dermatitis,"`` My hands are dry and cracked , and the tegument is peeling off in some place . atomic number 53 use a pile of chemicals and oil at work , could that beryllium causation it ? ''",0
Contact Dermatitis,"`` My hands are dry and break , and the skin be peeling off in some topographic point . atomic number 53 use angstrom unit lot of chemicals and oil at work , could that be causing it ? ''",0
Contact Dermatitis,"`` My hands are dry and cracked , and the skin is peeling off in some places . I use angstrom lot of chemicals and oils atomic number 85 work , could that be causation it ? ''",0
Contact Dermatitis,"`` My custody ar dry and crack , and the cutis be peeling hit in some topographic point . I use a lot of chemicals and oil at work , could that be causing information technology ? ''",0
Contact Dermatitis,"`` My custody ar prohibitionist and cracked , and the skin is peeling off in some places . atomic number 53 use angstrom unit plenty of chemical and oils astatine work , could that be causing information technology ? ''",0
Contact Dermatitis,"Contact dermatitis presents with several characteristic symptom upon skin exposure to irritants Oregon allergen . These include redness , itchiness , and skin inflammation , often accompanied by a efflorescence or blisters . The bear on country might develop xerotes , scaling , or thickening of the cutis . Pain Oregon tenderness can likewise be experienced . Contact dermatitis tin manifest other than based on the irritant or allergen encounter , with symptoms appearing directly or after prolonged exposure . In severe cases , symptom may extend beyond the contact area , causation discomfort . Prompt designation of trigger and avoidance is requisite for managing this condition efficaciously .",0
