Disease name,Text,cluster
Eczema,"""I was diagnosed with eczema a few months ago, but the creams I've been using haven't helped much. My skin is still itchy and uncomfortable, and I'm not sure what else to do.""",2
Eczema,"""I've noticed these itchy, scaly patches on my legs lately. They weren't there before, and I'm worried it might be something serious.""",2
Eczema,"Eczema, also known as atopic dermatitis, presents various symptoms that affect the skin's appearance and texture. Common manifestations include red or inflamed patches, often accompanied by intense itching, which can lead to scratching and subsequent skin thickening. These areas may weep, crust, or scale over time. Eczema often causes dry, sensitive skin that may become discolored or develop small, raised bumps. In severe cases, it can lead to painful cracks or fissures. Additionally, eczema might provoke sleep disturbances due to itching, impacting daily life and potentially causing emotional distress due to its persistent nature. Early diagnosis and proper management help alleviate symptoms and prevent flare-ups.",1
Eczema,"""I've noticed my eczema flaring up lately, and I think it might be related to stress. I'm going through a lot right now, and it's taking a toll on my skin.""",2
Eczema,"""My child has developed eczema, just like I did when I was young. I'm worried it will get worse for them, and I want to know what I can do to help.""",0
Eczema,"""My baby has been scratching at their skin non-stop, and it's red and bumpy in patches. It's keeping them up at night, and I'm worried about infection.""",1
Eczema,"""My skin gets really irritated after training, especially around my elbows and knees. It's itchy and painful, and it's affecting my performance.""",1
Eczema,"""I've developed these dry, itchy patches on my hands and arms. It's making it hard to focus at work and even do simple tasks like washing dishes.""",2
Eczema,"""My face has been breaking out like crazy lately, and it's really itchy. It's embarrassing and uncomfortable, and I'm starting to lose confidence.""",2
Eczema,"""I'm not sure if I have eczema, but I have these itchy, red patches on my skin. I want to know what I can do to manage it and prevent it from getting worse.""",0
Eczema,"""My skin has been getting more sensitive lately, especially on my belly. It's itchy and red, and I worry it might be affecting the baby.""",1
Eczema,"`` My nipper has developed eczema , just like I did when I was young . iodine 'm worry it will get worse for them , and I neediness to know what I can do to assistance . ''",0
Eczema,"`` My child has developed eczema , just like I did when I Evergreen State young . iodine 'm worry information technology will get worse for them , and I want to know what I can do to help . ''",0
Eczema,"`` My child has developed eczema , just the likes of iodine did when I was young . I 'm worried it will get worse for them , and I want to know what I can do to help . ''",0
Eczema,"`` I 'm not certain if I have eczema , just I have these fretful , red patches on my cutis . I want to know what atomic number 53 can do to manage it and prevent it from getting worse . ''",0
Eczema,"`` I 'm non sure if I rich person eczema , but I wealthy person these itchy , red patches on my cutis . I privation to know what I tin do to manage it and prevent it from getting worse . ''",0
Eczema,"`` I 'm not sure if atomic number 53 wealthy person eczema , but I have these itchy , redness patches on my tegument . I privation to know what atomic number 53 can do to bring off information technology and prevent it from getting worse . ''",0
Eczema,"Eczema , besides known arsenic atopic dermatitis , presents various symptom that affect the cutis 's appearance and texture . Common manifestations include red or inflamed speckle , often accompanied past intense itchiness , which can lead to scratching and subsequent tegument thickening . These areas may weep , Earth's crust , or scale over time . Eczema often causes dry , sensitive skin that may become discolored or develop small , raised bumps . In severe cases , it can lead to painful crack or fissures . Additionally , eczema mightiness enkindle slumber disturbances due to itching , impact daily life and potentially causing emotional distress due to IT persistent nature . Early diagnosis and proper management assist alleviate symptoms and prevent flare-ups .",1
Eczema,"Eczema , likewise cognize as atopic dermatitis , presents assorted symptom that affect the skin 's visual aspect and texture . Common manifestation include red or inflame patches , frequently go with past intense itching , which can lead to scratching and subsequent skin thickener . These areas may cry , Earth's crust , Beaver State ordered series over clip . Eczema often causes dry , sensitive skin that may go discolored or develop small , raised bump . In severe example , information technology tin can lead to painful cracks or cranny . Additionally , eczema might provoke slumber disturbances due to itching , impact daily life and potentially causation emotional distress due to information technology relentless nature . Early diagnosis and proper management assist alleviate symptoms and forestall flare-ups .",1
Eczema,"Eczema , as well known as atopic dermatitis , presents various symptom that affect the tegument 's visual aspect and texture . Common manifestations include red or inflamed patches , often accompanied by intense itch , which tin can lead to scratching and subsequent tegument thickening . These country may cry , Earth's crust , Beaver State scale over clip . Eczema oft causes dry , medium skin that may become discolored or develop small , raise bump . In severe cases , information technology can lead to painful cracks or fissures . Additionally , eczema might provoke sleep disturbances due to itching , impacting daily life and potentially causing emotional distress due to information technology persistent nature . Early diagnosis and proper management help alleviate symptoms and prevent flare-ups .",1
Eczema,"`` My baby has been scrape at their skin non-stop , and it 's red and bumpy inch patches . It 's keeping them up at night , and I 'm worry about infection . ''",1
Eczema,"`` My baby has be scratching at their skin non-stop , and it 's red and bumpy in patches . It 's keeping them up astatine night , and I 'm worry about infection . ''",1
Eczema,"`` My baby has been scrape at their skin non-stop , and information technology 's red and bumpy in patches . It 's keeping them up at night , and I 'm worry astir infection . ''",1
Eczema,"`` My skin gets really nark after training , especially around my elbows and knee . It 's itchy and painful , and it 's touch on my public presentation . ''",1
Eczema,"`` My skin get really chafe after training , specially about my elbows and knee joint . information technology 's itchy and painful , and it 's affecting my public presentation . ''",1
Eczema,"`` My skin gets really irritated after preparation , especially about my elbows and knees . It 's itchy and painful , and information technology 's affecting my performance . ''",1
Eczema,"`` My skin has be getting more spiritualist lately , peculiarly on my belly . It 's itchy and red , and I vexation it might be affecting the babe . ''",1
Eczema,"`` My tegument has be getting more spiritualist lately , especially on my belly . It 's itchy and red , and I worry it might be affecting the babe . ''",1
Eczema,"`` My skin has be acquiring Sir Thomas More sensitive lately , especially on my stomach . It 's itchy and red , and atomic number 53 worry it might atomic number 4 affecting the infant . ''",1
Eczema,"`` I was diagnosed with eczema angstrom unit few calendar month ago , but the cream iodin 've be using have n't help much . My skin is still itchy and uncomfortable , and I 'm not sure what else to do . ''",2
Eczema,"`` I was name with eczema a few calendar month ago , simply the pick I 've been using wealthy person n't help much . My skin is still itchy and uncomfortable , and I 'm not certain what else to do . ''",2
Eczema,"`` iodin was diagnosed with eczema a few months ago , simply the cream I 've be using have n't helped much . My skin is still fidgety and uncomfortable , and I 'm not sure what else to do . ''",2
Eczema,"`` I 've noticed these itchy , scabrous patches on my legs lately . They were n't there before , and iodine 'm worried information technology power glucinium something serious . ''",2
Eczema,"`` atomic number 53 've noticed these fidgety , scaly patches on my legs lately . They be n't there earlier , and I 'm worry it power beryllium something serious . ''",2
Eczema,"`` I 've noticed these antsy , scaly patches on my legs of late . They be n't there earlier , and I 'm worried it might be something serious . ''",2
Eczema,"`` I 've noticed my eczema flaring up lately , and I think it might be related to emphasis . I 'm going through a lot right now , and it 's pickings a toll on my skin . ''",2
Eczema,"`` I 've noticed my eczema flaring up lately , and I think it might be related to stress . I 'm going through a lot right now , and it 's taking angstrom unit toll on my cutis . ''",2
Eczema,"`` I 've notice my eczema flaring up lately , and atomic number 53 think information technology power be link to stress . I 'm leaving through a lot right now , and information technology 's taking a toll on my tegument . ''",2
Eczema,"`` iodin 've developed these dry , itchy patches on my custody and weaponry . It 's making it hard to focus atomic number 85 work and eve do simple tasks the like washing dishes . ''",2
Eczema,"`` iodin 've developed these prohibitionist , itchy patches on my hands and weaponry . It 's making it difficult to direction atomic number 85 work and eventide do simple tasks like lavation dishes . ''",2
Eczema,"`` I 've developed these prohibitionist , itchy patches on my custody and arms . information technology 's making information technology difficult to direction at work and even do simple tasks like washing dishes . ''",2
Eczema,"`` My face hour angle been breaking out like looney lately , and it 's really itchy . It 's embarrassing and uncomfortable , and I 'm starting to lose sureness . ''",2
Eczema,"`` My face has been breaking out the like crazy lately , and it 's truly itchy . information technology 's embarrassing and uncomfortable , and iodin 'm starting to lose confidence . ''",2
Eczema,"`` My human face has been breakage out like loony lately , and it 's really itchy . It 's embarrassing and uncomfortable , and iodin 'm start to lose confidence . ''",2
