Disease name,Text,cluster
Folliculitis,"""I have these small, hard bumps on my buttocks that hurt when I sit down. They're red and inflamed, and I'm worried about ingrown hairs.""",1
Folliculitis,"""I've been using a new hot tub, and now I have these itchy, red bumps on my arms and legs. They look like tiny pimples, but they're clustered together.""",2
Folliculitis,"""My baby has these little white bumps on their face that look like pimples. They seem to scab over sometimes and make their skin look red.""",2
Folliculitis,"Folliculitis manifests as small red or white-headed pimples around hair follicles. Commonly appearing on the scalp, face, chest, back, or groin, it may cause itching, tenderness, or a sensation of burning. The affected area might exhibit pus-filled blisters or crust over, and in severe cases, lead to hair loss. Folliculitis symptoms vary, ranging from mild discomfort to painful eruptions that can cause scarring. Often caused by bacterial or fungal infections, this condition can also stem from friction due to tight clothing or skin irritation from substances like oils or makeup. Seeking medical advice helps in identifying the cause and choosing appropriate treatments.",1
Folliculitis,"""I have these tiny red bumps on my back and chest that feel like razor bumps. They're really itchy and uncomfortable, especially when I sweat.""",0
Folliculitis,"""After using a new steroid cream for my eczema, I developed these painful bumps where I applied it. They're red and pus-filled, and they sting when I touch them.""",1
Folliculitis,"""Doctor, I have these small, itchy bumps on my scalp that keep getting red and pus-filled. They sometimes hurt when I touch them.""",1
Folliculitis,"""I've been working in a factory where we use oil and grease, and now I have these painful bumps on my arms and forearms. They look like blackheads, but they're getting bigger and more inflamed.""",2
Folliculitis,"""I've been taking antibiotics for a long time, and now I have these itchy, red bumps on my arms and legs. They seem to be spreading, and I'm worried about an infection.""",2
Folliculitis,"""I have these red, inflamed bumps on my chin and beard area. They're getting bigger and more painful, and I'm worried about scarring.""",1
Folliculitis,"""I have these tiny, red bumps on my upper thighs that itch like crazy. They seem to worsen after shaving or wearing tight clothing.""",0
Folliculitis,"`` iodine rich person these tiny red bumps on my back and thorax that feel like razor bump . They 're really itchy and uncomfortable , peculiarly when iodine sweat . ''",0
Folliculitis,"`` I have these tiny red bumps on my dorsum and chest that feel like razor bumps . They 're truly itchy and uncomfortable , especially when I sweat . ''",0
Folliculitis,"`` I have these tiny redness bumps on my back and thorax that feel like razor bumps . They 're really antsy and uncomfortable , especially when I sweat . ''",0
Folliculitis,"`` I have these tiny , red bumps on my upper berth thighs that itch the like crazy . They seem to decline after shaving or wearing tight vesture . ''",0
Folliculitis,"`` iodin rich person these tiny , redness bump on my upper thighs that itch like crazy . They seem to worsen after shaving Oregon wearing tight wear . ''",0
Folliculitis,"`` I rich person these midget , redness bumps on my upper thighs that itch like crazy . They seem to worsen after shave or wearing tight clothing . ''",0
Folliculitis,"`` iodin have these small , difficult bumps on my behind that injury when I sit down . They 're red and inflame , and I 'm worried astir ingrown hairs . ''",1
Folliculitis,"`` iodin have these small , hard bump on my buns that hurt when I sit down . They 're red and inflame , and I 'm worried about ingrowing hair . ''",1
Folliculitis,"`` atomic number 53 have these small , hard bumps on my bum that hurt when I sit down down feather . They 're red and inflamed , and I 'm worry about ingrowing hairs . ''",1
Folliculitis,"Folliculitis manifests as small red or white-headed pimples around hair follicle . Commonly appearing on the scalp , face , chest , dorsum , or groin , it may cause itch , tenderness , or a sensation of burning . The touch country might exhibit pus-filled blisters or crust over , and in terrible cases , lead to hair loss . Folliculitis symptoms change , range from mild uncomfortableness to painful eruption that can cause scarring . Often caused past bacterial or fungal infections , this condition can also stem from friction due to tight clothing Oregon skin irritation from substances like oils or makeup . Seeking medical advice aid in identifying the cause and choosing appropriate treatments .",1
Folliculitis,"Folliculitis manifests as small red or white-headed pimples around hair follicle . usually coming into court on the scalp , face , thorax , back , or groin , it may cause itch , tenderness , Beaver State a sensation of burning . The affected country mightiness exhibit pus-filled blisters or crust over , and in terrible case , lead to hair loss . Folliculitis symptoms vary , ranging from mild discomfort to painful eruptions that tin can cause scar . Often caused by bacterial Beaver State fungal infection , this status can also stem from friction due to tight article of clothing or tegument irritation from substances like oils or makeup . quest health check advice helps inch identifying the cause and choosing appropriate intervention .",1
Folliculitis,"Folliculitis manifests as small red or white-headed pimples around hair follicles . Commonly appearing on the scalp , face , chest , back , or inguen , information technology may cause itching , tenderness , or angstrom unit sensation of burning . The affected country might exhibit pus-filled blisters Beaver State crust over , and in severe cases , lead to hair loss . Folliculitis symptom change , ranging from mild discomfort to painful eruptions that tin cause scarring . Often cause by bacterial Oregon fungal infection , this condition tin also base from friction due to tight vesture or skin irritation from substances like oils or makeup . Seeking medical advice helps in identifying the cause and choosing appropriate treatments .",1
Folliculitis,"`` After using angstrom unit new steroid cream for my eczema , iodin develop these painful bumps where I applied it . They 're red and pus-filled , and they stinging when I touch them . ''",1
Folliculitis,"`` After using angstrom new steroid cream for my eczema , I developed these painful bumps where I applied it . They 're red and pus-filled , and they stinging when I touch them . ''",1
Folliculitis,"`` After exploitation angstrom new steroid cream for my eczema , iodin develop these painful bumps where I applied it . They 're red and pus-filled , and they stinging when I touch them . ''",1
Folliculitis,"`` Doctor , I have these small , itchy bumps on my scalp that keep acquiring red and pus-filled . They sometimes harm when I touch them . ''",1
