Disease name,Text,cluster
Hives (Urticaria),"Hives, also known as urticaria, typically present as raised, itchy welts on the skin, varying in size and shape. These welts are often red or pink and may appear suddenly, disappearing within hours or persisting for days. They can occur singularly or cluster together, spreading across different parts of the body. Alongside the skin rash, hives may cause a burning or stinging sensation and occasionally trigger swelling of the lips, eyelids, or throat, leading to difficulty breathing or swallowing. In some cases, hives can be accompanied by fever, fatigue, or digestive issues, although these systemic symptoms are less common.",1
Hives (Urticaria),"""Doctor, I woke up this morning covered in these itchy, raised bumps all over my arms and legs. They burn and feel like mosquito bites, but I haven't been outside! Is it an allergic reaction?""",2
Hives (Urticaria)," ""These itchy bumps keep popping up on my belly and thighs. They come and go quickly, but they're driving me crazy! I didn't have these with my first pregnancy.""",2
Hives (Urticaria)," ""As soon as I step outside in the sun, my skin starts to swell and get itchy. I haven't been able to enjoy summer for years! Is there anything I can do?""",2
Hives (Urticaria)," ""My friends said hives can be from exercise, and I did work out really hard at the gym yesterday. Now I have these huge welts on my neck and arms. Should I be worried?""",0
Hives (Urticaria)," ""Mommy, my skin is itchy and feels funny!"" (pointing to red, raised bumps on their arms)",2
Hives (Urticaria),"""My hives have been coming and going for months now. I've tried everything, but nothing seems to work! It's affecting my sleep and daily life.""",0
Hives (Urticaria)," ""I've been feeling stressed lately, and today all these red welts suddenly appeared on my chest and back. They sting and make it hard to sleep. Could it be stress hives?""",0
Hives (Urticaria),"""After eating some shellfish yesterday, I started getting these itchy welts on my hands and face. My throat feels a bit tight too. Am I having an allergic reaction?""",2
Hives (Urticaria)," ""My doctor thinks my new medication might be causing these hives. They're not as bad as some of my other symptoms, but they're still annoying.""",2
Hives (Urticaria)," ""Every time I go swimming or drink something cold, my lips swell up and I get itchy welts all over. It's embarrassing and uncomfortable.""",1
Hives (Urticaria),"`` My friends said hives can atomic number 4 from physical exercise , and iodin did work out genuinely hard at the gym yesterday . Now iodine have these immense welts on my neck and arms . Should I be worry ? ''",0
Hives (Urticaria),"`` My friends said hives can be from exercise , and iodine did work out genuinely hard at the gym yesterday . Now I have these huge welts on my neck and munition . Should I beryllium worry ? ''",0
