Unnamed: 0,label,text,cluster,Disease name,Text
1.0,Impetigo,I have developed a skin rash on my face and neck. The rash is made up of red sores that are blistering. I am worried about my health.,1,,
2.0,Impetigo,"I have developed skin rashes made up of blistering sores. The blistering sores are raised, fluid-filled lesions and they are painful to touch. I am also suffering from a high fever.",0,,
3.0,Impetigo,I have a high fever. There are red sores developing near my nose. The sores are painful and have yellow rust-colored ooze coming out from them.,2,,
4.0,Impetigo,"There are rashes around my nose, with large red sores. I noticed that the rash was spreading to other parts of my body. Also, I have a high fever every night.",2,,
5.0,Impetigo,I have been suffering from a high fever for the last couple of days. Sores are developing near my nose. The sores are painful and I am feeling very uncomfortable these days.,0,,
6.0,Impetigo,"My skin has developed rashes, mainly near the nose. The rash is spreading to other parts of my body. I am really about worried about this.",2,,
7.0,Impetigo,I have been experiencing extreme fatigue and a high fever. There are rashes near my nose and mouth. The rash is itchy and makes it very difficult for me to sleep.,0,,
8.0,Impetigo,"I am suffering from extreme fever and weakness. I have developed sores on my face. The sores itchy and uncomfortable. Often, a yellow colored ooze comes out of the sores.",0,,
9.0,Impetigo,I have noticed that the sores are taking longer to heal and are more prone to infection. The sores on my face are swollen and tender to the touch and very uncomfortable to handle.,0,,
10.0,Impetigo,There are red sores on my face and near my nose. I have noticed that the rash is spreading more quickly on my neck and chest.,2,,
11.0,Impetigo,The sores around my nose have become crusted over and are difficult to touch. A yellow-rust coloured ooze used to come out of the sores. It is taking much more time to handle.,2,,
12.0,Impetigo,"I developed a minor rash near my nose a few days ago. Now, the rash is accompanied by a burning sensation and redness of the skin. I feel it is some kind of an infection.",1,,
13.0,Impetigo,"Initially, I developed small red sores near my nose and neck. Now, I am having a high fever and the sores have become more painful and inflamed over the past few days.",1,,
14.0,Impetigo,"I noticed a skin rash on my face. It was made up of a blistering sore. Today I observed a yellow colored fluid coming out of the sores, I am not sure what it is.",1,,
15.0,Impetigo,"The sores on my face are beginning to weep clear fluid. Also, every night I get a high fever and chills, because of which I cannot sleep all night.",2,,
16.0,Impetigo,I initially had rashes on my face and near my nose. But now the rash is spreading down my arms and legs.,2,,
17.0,Impetigo,"I have a high fever every night and developed sores on my face, particularly near my nose. I have noticed that the sores are taking longer to heal and are more prone to infection.",2,,
18.0,Impetigo,"The sores around my nose are now surrounded by red, inflamed skin. The rash has caused my skin to become dry and flaky, with a visible yellow colored fluid coming out of the sores.",1,,
19.0,Impetigo,"I have also been experiencing flu-like symptoms, such as fever and body pain. I have noticed red rashes and blistering sores near my nose and lips. It's itchy and uncomfortable.",0,,
20.0,Impetigo,I am suffering from mild fever and headache. There are small sores near my nose and rashes on my neck. I am going through a very tough time right now.,2,,
21.0,Impetigo,"There is a rash particularly bad around my nose, with large red sores that are painful and have yellow rust-colored ooze coming from them.",2,,
22.0,Impetigo,"There are sores on my face and mostly near my nose and lips. The sores are causing discomfort or pain, and there is a discharge of yellow or rust-colored fluid from them.",0,,
23.0,Impetigo,"I have been developing sores on my face and nose area. I am not sure what is causing this. The sores on my face are swollen and tender to the touch, and I have a burning sensation and redness of the skin.",1,,
24.0,Impetigo,"The rash on my face has become more painful and inflamed over the past few days, and the sores are beginning to weep clear fluid. It is getting extremely painful with each day.",1,,
25.0,Impetigo,I have rashes on my face. I am starting to have small sores around my nose and often a yellow fluid comes out of the sores. The sores are becoming extremely painful.,2,,
26.0,Impetigo,"I am feeling really sick. I have a high fever and headache. I noticed rashes on my arms and face. I am extremely worried about this. Today, I observed red sores near my nose.",2,,
27.0,Impetigo,"I've been suffering from a high fever for the past few days. Sores are forming around my nose and there are rashes on different parts of my body. The sores are severe, and I'm feeling really uneasy these days.",2,,
28.0,Impetigo,I have a high fever and am really weak. My face has gotten sores. The blisters are itchy and painful. A yellow ooze frequently leaks from the wounds.,0,,
29.0,Impetigo,"I am experiencing skin rashes with burning sores. The blistering sores are fluid-filled, elevated, red colored lesions that are unpleasant to touch. I also have a high fever.",1,,
30.0,Impetigo,"I believe I have some skin disease. There are rashes on my face and small sores near my nose. The sores have become red, and painful and some kind of a yellow ooze discharges from them.",2,,
31.0,Impetigo,"I have noticed that the sores on my face are healing more slowly and are more likely to become infected. My cheek sores are large, painful to the touch, and extremely difficult to handle. I can't seem to get rid of these sores.",2,,
32.0,Impetigo,"I am having a high fever. I've had a skin rash on my face, neck and arms. The rash is made up of burning red lesions. I'm concerned about my health.",1,,
33.0,Impetigo,"I've acquired skin rashes with blistering sores. The blistering sores are fluid-filled, elevated lesions that are unpleasant to touch. I'm also running a high fever.",1,,
34.0,Impetigo,"I'm running a high temperature. Near my nose, red sores are forming. The lesions are painful, and yellow rust-colored fluid is oozing from them.",1,,
35.0,Impetigo,"I have rashes around my nose, as well as huge red sores. The rash is spreading to other places on my body, as I've seen. In addition, I have a high temperature every night.",2,,
36.0,Impetigo,My cheeks and nose are covered with red sores. I've observed that the rash on my neck and chest is spreading faster. I am also developing a mild fever.,1,,
37.0,Impetigo,My nasal sores have crusted up and become difficult to touch. The wounds used to leak a yellow-rust coloured fluid. It is taking a lot longer to deal with using medication.,2,,
38.0,Impetigo,"A few days ago, I experienced a tiny rash around my nose. The rash is now accompanied by a burning feeling and skin redness and discharge of fluid. I believe it is some sort of infection.",1,,
39.0,Impetigo,"Small red sores appeared near my nose and neck at first. I now have a high temperature, and the sores have gotten more painful and inflamed in recent days.",1,,
40.0,Impetigo,"A rash has developed around my nose and lips, with huge red lesions that are painful and emit a yellow rust-colored fluid.",1,,
41.0,Impetigo,"My face is covered in sores. Most of them are near my nose and lips. The lesions are causing discomfort or suffering, and a yellow or rust-colored fluid is oozing from them.",0,,
42.0,Impetigo,"I've started getting sores on my face and nose. I have no idea what is causing this. My cheek sores are large and irritating to the touch, and I have a burning feeling and skin redness.",1,,
43.0,Impetigo,"Over the last two days, the rash on my face has gotten more severe and inflamed, and the blisters have begun to bleed clear pus. It is really painful to deal with.",1,,
44.0,Impetigo,"I feel I have a skin condition. My face has rashes and little blisters around my nose. The wounds have turned red and painful, and a yellow liquid is oozing from them.",2,,
45.0,Impetigo,"I've observed that the lesions on my face are healing slower and are more prone to infection. The lesions on my cheeks are huge, unpleasant to the touch, and incredibly difficult to treat. I can't seem to get these sores to go away.",1,,
46.0,Impetigo,"I'm running a high temperature. I've developed a rash on my face, neck, and arms. The rash consists of painful red lesions. My health is a concern for me.",1,,
47.0,Impetigo,"Over the last week, the rash on my face has gotten more severe and painful, and the sores have begun to discharge a yellow colored fluid. It's becoming increasingly painful by the day.",1,,
48.0,Impetigo,"I've had rashes on my face. I'm developing little sores around my nose, and a yellow ooze is frequently oozing from them. The lesions have become even more painful.",1,,
49.0,Impetigo,I'm feeling quite ill. I have a high fever and a headache. Rashes appeared on my arms and face. I'm quite concerned about this. I saw red sores around my nose and lips today.,1,,
50.0,Impetigo,"The rashes on my face are not healing. I tried some medications but it is not helping much. Recently, I noticed small sores near my nose. They are painful and very difficult to handle.",2,,
,,,0,Impetigo,"I wealthy person developed skin rash made up of blistering sore . The blistering sores are raised , fluid-filled lesions and they are painful to touch . iodin am also suffering from angstrom unit high fever ."
,,,0,Impetigo,"I have developed skin rashes do up of blistering sores . The blistering sores are raised , fluid-filled lesions and they are painful to touch . I atomic number 95 also suffering from angstrom unit high fever ."
,,,0,Impetigo,"I rich person developed skin roseola made up of vesiculation sores . The vesication sores are raised , fluid-filled lesions and they are painful to touch . iodin am besides suffering from angstrom unit high febrility ."
,,,0,Impetigo,I wealthy person been suffering from a high fever for the conclusion duo of years . Sores ar developing near my nose . The sores ar painful and I americium feeling very uncomfortable these days .
,,,0,Impetigo,iodin rich person be suffering from a high fever for the last duo of days . Sores ar developing go up my nose . The sore are painful and I am feeling very uncomfortable these days .
,,,0,Impetigo,atomic number 53 have be agony from a high fever for the last couple of days . Sores ar developing near my nose . The sores are painful and I am feeling very uncomfortable these days .
,,,0,Impetigo,I have been experiencing extreme weariness and a high fever . There are skin rash come on my nose and mouth . The rash be itchy and brand it very difficult for me to sleep .
,,,0,Impetigo,atomic number 53 have been go through extreme fatigue and a high fever . There are rashes near my nose and oral cavity . The rash be antsy and make information technology very difficult for me to slumber .
,,,0,Impetigo,I have been experiencing extreme fatigue and a high febricity . There are rashes come near my nose and mouth . The skin rash is antsy and makes it very difficult for me to sleep .
,,,0,Impetigo,"I am suffering from extreme fever and weakness . I wealthy person develop sore on my human face . The sores fidgety and uncomfortable . Often , angstrom yellowness colored person ooze comes out of the sores ."
,,,0,Impetigo,"I am suffering from extreme fever and weakness . I have develop sores on my face . The sores itchy and uncomfortable . oftentimes , a yellow colored ooze ejaculate out of the sores ."
,,,0,Impetigo,"iodin americium suffering from extreme fever and weakness . I have developed sore on my human face . The sores itchy and uncomfortable . Often , a yellowness colored muck comes out of the sores ."
,,,0,Impetigo,iodin have noticed that the sores are taking longer to heal and are more prone to infection . The sores on my human face are swollen and stamp to the touching and very uncomfortable to handle .
,,,0,Impetigo,I have noticed that the sore ar pickings thirster to heal and are more prone to infection . The sores on my face ar swell and legal tender to the touch and very uncomfortable to handle .
,,,0,Impetigo,atomic number 53 have noticed that the sore are taking longer to heal and are more prone to infection . The sores on my face are swollen and stamp to the touch and very uncomfortable to handle .
,,,0,Impetigo,"I have also be experiencing flu-like symptom , such as fever and organic structure hurting . atomic number 53 have detect red rashes and vesiculation sores draw close my nose and lip . It 's itchy and uncomfortable ."
,,,0,Impetigo,"I have too been experiencing flu-like symptoms , such arsenic febricity and body hurting . I rich person noticed redness rash and blistering sore near my olfactory organ and lip . It 's itchy and uncomfortable ."
,,,0,Impetigo,"I have also been experience flu-like symptoms , such as fever and organic structure pain . I have noticed red rashes and blistering sores near my olfactory organ and lips . It 's itchy and uncomfortable ."
,,,0,Impetigo,"There are sore on my face and mostly near my nose and lip . The sores are causing discomfort or pain , and there is a discharge of yellow Beaver State rust-colored fluid from them ."
,,,0,Impetigo,"There are sore on my face and mostly near my nose and lips . The sores are causing uncomfortableness or pain , and there is a discharge of yellow Oregon rust-colored fluid from them ."
,,,0,Impetigo,"There are sore on my face and for the most part near my nose and lips . The sores are causing discomfort Beaver State pain , and there is angstrom discharge of yellowness or rust-colored fluid from them ."
,,,0,Impetigo,iodine have angstrom high febricity and am truly weak . My face has acquire sores . The blisters ar fretful and painful . angstrom unit yellow ooze frequently leaks from the lesion .
,,,0,Impetigo,I have a high febricity and am really weak . My human face has gotten sores . The blister are itchy and painful . angstrom yellowness ooze frequently leak from the wounds .
,,,0,Impetigo,I have a high fever and am really weak . My face has gotten sore . The blister are itchy and painful . A yellow goop frequently leaks from the wounds .
,,,0,Impetigo,"My face is covered inch sores . Most of them are near my nose and lip . The lesions are causation discomfort or suffering , and a yellowness or rust-colored fluid is oozing from them ."
,,,0,Impetigo,"My face is covered in sore . Most of them ar near my nose and lips . The lesions are causing uncomfortableness or excruciation , and a yellow or rust-colored fluid is oozing from them ."
,,,0,Impetigo,"My face is cover in sores . Most of them are near my nose and lips . The lesion are causation discomfort or suffering , and a yellow or rust-colored fluid be oozing from them ."
,,,1,Impetigo,I have developed a skin skin rash on my face and cervix . The rash is made up of red sores that are blistering . iodine atomic number 95 worried about my wellness .
,,,1,Impetigo,iodine have develop angstrom unit skin rash on my human face and neck . The skin rash be made up of red sores that are blistering . I am worried about my health .
,,,1,Impetigo,I have developed a cutis rash on my human face and cervix . The skin rash is made up of redness sores that ar blistering . I am worried about my health .
,,,1,Impetigo,"iodine develop a minor rash draw near my nose a few days ago . Now , the rash is accompanied by angstrom burning sensation and redness of the tegument . I feel it is some form of Associate in Nursing infection ."
,,,1,Impetigo,"I develop angstrom unit minor efflorescence near my nose angstrom few days agone . Now , the rash is accompanied past angstrom burning sensation and redness of the skin . iodine feel it be some kind of an infection ."
,,,1,Impetigo,"I developed a shaver rash draw close my nose a few days ago . Now , the roseola is accompanied by a burning sensation and redness of the skin . I feel information technology is some kind of an infection ."
,,,1,Impetigo,"Initially , I developed small red sores near my nose and neck . Now , I am having a high febrility and the sore have go more painful and inflamed over the past few days ."
,,,1,Impetigo,"Initially , I developed small red sores near my nose and neck . Now , iodine am having angstrom unit high fever and the sores have become Sir Thomas More painful and inflamed over the past few years ."
,,,1,Impetigo,"Initially , atomic number 53 develop small redness sore near my olfactory organ and neck . Now , I am having a high pyrexia and the sores have go more painful and inflame over the past few days ."
,,,1,Impetigo,"atomic number 53 noticed a tegument rash on my human face . It was made up of a blistering sore . Today I observed angstrom unit yellowness colored fluid coming out of the sores , atomic number 53 am non sure what it is ."
,,,1,Impetigo,"I noticed angstrom skin rash on my face . It was made up of angstrom unit vesication sore . Today I observed a yellow colored person fluid approaching out of the sores , I am not sure what information technology is ."
,,,1,Impetigo,"iodin noticed a skin rash on my face . information technology was made up of angstrom blistering sore . Today I observed a yellow colored fluid coming out of the sore , I am not sure what it is ."
,,,1,Impetigo,"The sore around my nose are now surrounded past red , inflamed skin . The rash has caused my skin to become prohibitionist and flakey , with a visible yellow colored fluid coming out of the sores ."
,,,1,Impetigo,"The sores around my nose ar now surrounded by red , inflamed tegument . The rash has caused my skin to become prohibitionist and flaky , with a seeable yellow colored fluid coming out of the sores ."
,,,1,Impetigo,"The sores about my nose are now surrounded by redness , inflamed skin . The rash has caused my skin to become dry and flaky , with angstrom visible yellowness colored fluid coming out of the sore ."
,,,1,Impetigo,"I have been developing sores on my face and olfactory organ country . I am not certain what is causation this . The sores on my face ar swollen and tender to the touching , and I wealthy person a burning sensation and redness of the skin ."
,,,1,Impetigo,"I have been developing sores on my face and nose area . atomic number 53 atomic number 95 non sure what is causation this . The sore on my face are swell and tender to the touch , and iodin have a burning sensation and redness of the skin ."
,,,1,Impetigo,"atomic number 53 have been developing sores on my face and nose area . I am non sure what be causing this . The sores on my face are swollen and tender to the touch , and I have angstrom unit combustion sensation and redness of the skin ."
,,,1,Impetigo,"The rash on my human face has become Sir Thomas More painful and inflame over the past times few years , and the sores ar beginning to cry clear fluid . It is getting extremely painful with each day ."
,,,1,Impetigo,"The rash on my face has become more painful and inflame over the past few days , and the sores are beginning to weep clear fluid . information technology is getting extremely painful with each mean solar day ."
,,,1,Impetigo,"The rash on my face has become Thomas More painful and inflame over the past few days , and the sores ar beginning to cry clear fluid . It be acquiring extremely painful with each day ."
,,,1,Impetigo,"I am experiencing skin rashes with burning sores . The blistering sore are fluid-filled , elevated , red colored lesions that ar unpleasant to touch . atomic number 53 also have angstrom high fever ."
,,,1,Impetigo,"I am experiencing skin rashes with burning sores . The blistering sores are fluid-filled , elevated , red colored lesion that ar unpleasant to touch . I likewise have angstrom high fever ."
,,,1,Impetigo,"I am experiencing tegument rash with burning sores . The blistering sores are fluid-filled , el , redness colored person lesion that are unpleasant to touch . iodine likewise have angstrom high fever ."
,,,1,Impetigo,"I atomic number 95 having a high fever . atomic number 53 've hold a skin rash on my face , neck and arms . The rash be do up of combustion red lesions . atomic number 53 'm concerned about my health ."
,,,1,Impetigo,"I am having a high fever . iodine 've have a cutis efflorescence on my face , neck and arms . The roseola be made up of combustion red lesions . iodin 'm concerned about my health ."
,,,1,Impetigo,"I am having a high febricity . I 've had a tegument rash on my face , neck and arms . The rash be made up of combustion redness lesions . I 'm refer about my wellness ."
,,,1,Impetigo,"iodine 've acquire skin rashes with blistering sores . The blistering sores are fluid-filled , elevated lesions that are unpleasant to touch . I 'm too running a high fever ."
,,,1,Impetigo,"I 've acquired skin rashes with blistering sores . The blistering sores ar fluid-filled , elevated lesions that are unpleasant to touch . iodin 'm also running a high fever ."
,,,1,Impetigo,"I 've acquired skin skin rash with blistering sores . The blistering sores are fluid-filled , elevated lesions that ar unpleasant to touching . I 'm also running a high fever ."
,,,1,Impetigo,"iodine 'm run a high temperature . Near my nose , red sores are organise . The lesion are painful , and yellow rust-colored fluid is ooze from them ."
,,,1,Impetigo,"I 'm running game a high temperature . draw near my olfactory organ , red sores are forming . The lesions are painful , and yellow rust-colored fluid be oozing from them ."
,,,1,Impetigo,"I 'm running angstrom high temperature . Near my olfactory organ , redness sores are organise . The lesions are painful , and yellow rust-colored fluid is oozing from them ."
,,,1,Impetigo,My cheeks and olfactory organ ar covered with redness sores . iodin 've observed that the roseola on my neck and chest be spread fast . I am also development a mild febrility .
,,,1,Impetigo,My cheeks and nose are covered with red sores . iodin 've observed that the rash on my neck and chest be spreading faster . I am besides development a mild fever .
,,,1,Impetigo,My cheeks and nose ar cover with red sores . iodin 've observed that the roseola on my neck and thorax be spreading faster . I am also developing a mild fever .
,,,1,Impetigo,"angstrom unit few years ago , atomic number 53 experienced angstrom unit tiny roseola about my nose . The rash is now accompanied by angstrom burning feeling and skin redness and discharge of fluid . iodine believe information technology is some sort of infection ."
,,,1,Impetigo,"A few days ago , I see a tiny rash about my olfactory organ . The rash be now accompanied by a burning feeling and skin redness and discharge of fluid . I believe it be some kind of infection ."
,,,1,Impetigo,"A few days ago , I experienced a bantam rash about my nose . The rash be now accompany by a combustion feeling and cutis redness and discharge of fluid . I believe it is some sort of infection ."
,,,1,Impetigo,"Small red sore appeared near my olfactory organ and cervix at number one . I now rich person a high temperature , and the sore have gotten more painful and inflamed in recent days ."
,,,1,Impetigo,"Small redness sore seem near my nose and cervix astatine first . I now have a high temperature , and the sores have gotten more painful and inflamed inch recent years ."
,,,1,Impetigo,"Small red sore appeared come on my nose and cervix at first . I now wealthy person a high temperature , and the sores have gotten more painful and inflamed in recent years ."
,,,1,Impetigo,"A efflorescence has develop around my nose and lips , with huge red lesions that ar painful and emit a yellow rust-colored fluid ."
,,,1,Impetigo,"A rash has developed about my nose and lips , with huge red lesions that ar painful and emit a yellow rust-colored fluid ."
,,,1,Impetigo,"angstrom unit rash HA develop around my olfactory organ and lips , with Brobdingnagian redness lesions that are painful and pass off angstrom unit yellow rust-colored fluid ."
,,,1,Impetigo,"iodin 've commence acquiring sore on my human face and nose . iodin have no thought what be causation this . My cheek sores are large and rag to the touching , and I rich person a burning feeling and skin rubor ."
,,,1,Impetigo,"iodine 've started acquiring sore on my face and nose . I rich person no idea what be causing this . My cheek sores ar large and vex to the touching , and I have angstrom combustion feeling and cutis redness ."
,,,1,Impetigo,"I 've started getting sores on my face and nose . I wealthy person no idea what is causing this . My cheek sores are large and rag to the touch , and iodine have a combustion feeling and skin redness ."
,,,1,Impetigo,"Over the last deuce days , the roseola on my face hour angle gotten more severe and inflamed , and the blisters have begun to shed blood clear Pansa . It is genuinely painful to deal with ."
,,,1,Impetigo,"Over the last two days , the rash on my face has acquire more severe and inflame , and the blisters wealthy person begun to hemorrhage clear pus . information technology is genuinely painful to trade with ."
,,,1,Impetigo,"Over the last two days , the rash on my face has acquire Thomas More severe and inflame , and the blister rich person begun to hemorrhage clear pus . It is really painful to deal with ."
,,,1,Impetigo,"iodine 've observed that the lesions on my human face ar healing slower and are Thomas More prone to infection . The lesions on my cheeks are huge , unpleasant to the touching , and incredibly difficult to dainty . I ca n't seem to get these sores to tour away ."
,,,1,Impetigo,"I 've observed that the lesions on my face are healing slower and ar more prone to infection . The lesion on my cheeks are huge , unpleasant to the touching , and incredibly hard to treat . iodin ca n't seem to get these sores to tour away ."
,,,1,Impetigo,"I 've observed that the lesion on my human face ar healing slow and ar Thomas More prone to infection . The lesion on my cheeks are huge , unpleasant to the touch , and implausibly hard to dainty . I ca n't seem to get these sore to go away ."
,,,1,Impetigo,"I 'm running play a high temperature . I 've developed angstrom roseola on my face , neck , and arms . The roseola consists of painful redness lesion . My health is a concern for Maine ."
,,,1,Impetigo,"I 'm run angstrom unit high temperature . iodine 've develop a rash on my face , neck , and arms . The roseola consists of painful red lesion . My health is a concern for me ."
,,,1,Impetigo,"atomic number 53 'm run angstrom high temperature . I 've developed angstrom unit rash on my human face , neck , and implements of war . The skin rash consists of painful red lesions . My health be angstrom unit concern for Maine ."
,,,1,Impetigo,"Over the last week , the rash on my face has gotten Thomas More severe and painful , and the sore have begun to discharge a yellowness colored fluid . information technology 's becoming increasingly painful by the day ."
,,,1,Impetigo,"Over the close week , the rash on my face HA gotten more wicked and painful , and the sores have start out to discharge a yellowness colored fluid . It 's get increasingly painful past the day ."
,,,1,Impetigo,"Over the last week , the skin rash on my human face HA gotten Thomas More severe and painful , and the sores wealthy person begun to discharge angstrom unit yellow colored fluid . It 's becoming increasingly painful by the day ."
,,,1,Impetigo,"I 've had rashes on my face . I 'm developing little sores around my nose , and a yellow guck is frequently seepage from them . The lesions have become even more painful ."
,,,1,Impetigo,"iodine 've had roseola on my face . I 'm development little sores around my nose , and a yellow gook is frequently oozing from them . The lesions have become even Thomas More painful ."
,,,1,Impetigo,"I 've had rashes on my face . iodine 'm developing little sores around my nose , and a yellow ooze be frequently oozing from them . The lesions have become even more painful ."
,,,1,Impetigo,I 'm feeling quite complaint . atomic number 53 have a high fever and a headache . Rashes appear on my arms and human face . I 'm quite refer astir this . atomic number 53 byword redness sores about my nose and lip today .
,,,1,Impetigo,I 'm feeling quite ill . I rich person angstrom high fever and a headache . Rashes appeared on my weapons system and face . I 'm quite concerned about this . I saw redness sores around my nose and lips today .
,,,1,Impetigo,I 'm feeling rather ill . I rich person a high fever and angstrom headache . Rashes appeared on my arms and face . I 'm quite concerned astir this . iodin saw red sores around my nose and lips today .
,,,2,Impetigo,iodine have a high fever . There ar red sores development come near my nose . The sores are painful and rich person yellowness rust-colored ooze coming out from them .
,,,2,Impetigo,I have a high pyrexia . There are red sore development near my nose . The sores are painful and wealthy person yellowness rust-colored ooze coming out from them .
,,,2,Impetigo,iodin rich person angstrom high fever . There ar redness sores developing near my olfactory organ . The sores are painful and have yellow rust-colored ooze approach out from them .
,,,2,Impetigo,"There are rashes around my olfactory organ , with large red sores . I noticed that the roseola was spreading to other parts of my body . Also , I have a high fever every dark ."
,,,2,Impetigo,"There are rashes about my olfactory organ , with large red sore . I noticed that the rash was spreading to other parts of my body . Also , atomic number 53 have a high fever every dark ."
,,,2,Impetigo,"There are rashes about my nose , with large redness sore . I noticed that the roseola Evergreen State spreading to other parts of my body . Also , I wealthy person a high feverishness every night ."
