Disease name,Text,cluster
Rosacea," ""My face breaks out so easily, but it's not like typical acne. I have these red, bumpy patches that get worse when I'm stressed or hot. My friends don't understand, and I'm feeling really self-conscious about my skin.""",1
Rosacea," ""I have oily skin and rosacea, which seems like a confusing combination. I get these red patches and bumps, but I also have breakouts and excess shine. I'm not sure what skincare routine is right for me.""",2
Rosacea," ""My skin has been acting up lately, and I'm not sure if it's related to my pregnancy. I have these red patches and bumps on my face that weren't there before. I'm worried about using medications while pregnant.""",2
Rosacea," ""I noticed my face gets flushed and red after intense workouts, especially in hot weather. It feels hot and tingly, and I'm worried it might be affecting my performance.""",1
Rosacea," ""My skin is very sensitive to everything, and even basic skincare products irritate it. I have rosacea, but I'm afraid to try any treatments because I'm worried they'll make my skin worse.""",0
Rosacea,"Rosacea typically presents with various symptoms, often affecting the facial skin. Common signs include persistent redness, primarily in the central face, often resembling a sunburn or blush. Small blood vessels may become visible, along with red, swollen bumpsresembling acnethat can be sensitive or painful. Additionally, individuals with rosacea may experience dry, irritated, or watery eyes, along with a thickening of the skin, particularly on the nose, leading to a condition known as rhinophyma. Flare-ups may be triggered by certain foods, beverages, stress, or environmental factors. Seeking dermatological advice is crucial for diagnosis and tailored management due to the condition's variability and potential long-term effects.",1
Rosacea," ""I've been dealing with rosacea for years, but lately, it seems to be getting worse. The redness is more pronounced, and I have these enlarged blood vessels on my nose that make me feel self-conscious. I'm worried about permanent damage.""",0
Rosacea,"""My skin is very sensitive to the sun, and any exposure makes my rosacea worse. I get these red patches and pustules, and my eyes feel irritated and watery. I'm struggling to find sunscreen that doesn't trigger flare-ups.""",1
Rosacea," ""I've noticed my nose has become thicker and bulbous over the years, and I'm concerned it might be related to my rosacea. I also have these red patches and visible blood vessels on my cheeks.""",1
Rosacea," ""Doctor, my face has been so red and flushed lately, especially around my cheeks and nose. It's like I'm constantly blushing, and it makes me feel self-conscious. I also have these small, red bumps that sometimes feel itchy and burning.""",1
Rosacea," ""My skin has been really sensitive lately, and it gets easily irritated by certain products and even the weather. I have these red patches and pustules on my nose that come and go, and sometimes my eyes feel watery and itchy.""",1
Rosacea,"`` My cutis is very medium to everything , and even basic skincare merchandise irritate it . I rich person rosacea , but I 'm afraid to effort whatsoever treatment because I 'm worry they 'll make my skin worse . ''",0
Rosacea,"`` My skin is very sensitive to everything , and evening basic skincare products irritate it . I have rosacea , but I 'm afraid to try any treatments because I 'm worried they 'll brand my skin worse . ''",0
Rosacea,"`` My skin is very sensitive to everything , and even basic skincare products nark information technology . I have rosacea , simply I 'm afraid to try any intervention because I 'm worried they 'll brand my skin worse . ''",0
Rosacea,"`` atomic number 53 've be dealing with rosacea for age , but latterly , it seems to be acquiring worse . The redness is more articulate , and iodin have these enlarged blood vessels on my nose that make me feel self-conscious . I 'm worried astir permanent wave damage . ''",0
Rosacea,"`` I 've been dealing with rosacea for geezerhood , but lately , information technology appear to be getting worse . The redness be more pronounced , and I have these enlarged blood vas on my nose that brand me feel self-conscious . I 'm worried about permanent wave damage . ''",0
Rosacea,"`` atomic number 53 've be dealing with rosacea for old age , just lately , it seem to be acquiring worse . The redness is Thomas More sound out , and I have these enlarge blood vessels on my nose that make me feel self-conscious . iodin 'm worried about permanent damage . ''",0
Rosacea,"`` My human face breaks out sol easily , but it 's not like typical acne . I have these red , bumpy speckle that get worse when I 'm punctuate Beaver State hot . My friends do n't understand , and I 'm feeling really self-conscious astir my skin . ''",1
Rosacea,"`` My face breaks out so easily , but it 's not like typical acne . I have these redness , bumpy patches that get worse when iodin 'm stressed Beaver State hot . My friends do n't understand , and I 'm feeling genuinely self-conscious astir my tegument . ''",1
Rosacea,"`` My human face breaks out so easy , but it 's non the like typical acne . I have these red , bumpy spot that get worse when I 'm stressed or hot . My friend do n't understand , and I 'm feeling really self-conscious about my skin . ''",1
Rosacea,"`` I noticed my face get redden and red after intense physical exercise , especially in hot weather condition . It feels hot and tingly , and iodin 'm worry information technology mightiness be affecting my performance . ''",1
Rosacea,"`` I noticed my human face gets flush and red after intense workouts , peculiarly inch hot weather . information technology feels hot and tingly , and I 'm worry it might be affecting my performance . ''",1
Rosacea,"`` I noticed my face gets flushed and redness after intense workouts , specially inch hot weather . It feels hot and tingly , and iodin 'm worried information technology power atomic number 4 affecting my performance . ''",1
Rosacea,"Rosacea typically presents with various symptom , often affecting the facial skin . Common signs include persistent rubor , primarily in the exchange face , often resembling a sunburn Oregon blush . Small blood vessels may become visible , along with red , swollen bumpsresembling acnethat can be medium or painful . to boot , somebody with acne rosacea may experience dry , irritated , or watery eyes , along with a thickening of the skin , particularly on the olfactory organ , leading to angstrom unit condition known as brandy nose . Flare-ups may glucinium spark by certain food , beverages , emphasis , Oregon environmental factors . Seeking dermatological advice be crucial for diagnosis and tailored direction due to the condition 's variability and potency long-term personal effects .",1
Rosacea,"Rosacea typically present with various symptoms , often impact the facial cutis . Common signs include persistent redness , primarily inch the telephone exchange human face , frequently resembling angstrom unit suntan Beaver State blush . Small blood vessels may get visible , on with redness , swollen bumpsresembling acnethat can beryllium sensitive Beaver State painful . to boot , individuals with rosacea may experience dry , chafe , Beaver State watery eyes , on with a thickening of the skin , specially on the nose , lead to angstrom status known as rhinophyma . Flare-ups may glucinium spark off by certain foods , beverages , stress , or environmental factors . Seeking dermatological advice is important for diagnosing and orient direction due to the condition 's variableness and potential long-term effects .",1
