Disease name,Text,cluster
Scabies,"""Doctor, I've noticed these small, red bumps on my wrists and elbows. They itch like crazy, and I'm starting to worry about bed bugs or something. Could it be something more serious?""",2
Scabies,"Scabies, a contagious skin condition caused by the Sarcoptes scabiei mite, typically presents with various symptoms. Itching, especially at night, is a hallmark, often intensifying over time. The infestation leads to burrow tracks, tiny blisters, or red bumps in skin folds and between fingers, resembling a rash. Common sites of infestation include the wrists, elbows, armpits, and groin. Scratching the affected areas may result in secondary infections. Individuals may experience insomnia due to severe itching. Prompt medical attention is necessary to diagnose scabies and avoid spreading the mites to others through close contact.",1
Scabies,"""Doctor, my baby has been scratching like crazy all night, especially their hands and feet. Their skin looks red and bumpy in some places, and they can't seem to stop scratching!""",2
Scabies,"""I've been feeling stressed lately, and I've noticed these small, red bumps on my arms. I'm constantly scratching them, and I'm worried it's a sign of something more serious. Could it be all in my head?""",2
Scabies,"""I'm due in a few weeks, and I've got this awful itching all over my belly and breasts. It's keeping me up at night, and I'm worried about passing it on to the baby. What could it be?""",0
Scabies,"""Just returned from a backpacking trip in Southeast Asia, and I've been getting these itchy bumps on my arms and legs. They weren't there before, and I'm wondering if it's something I picked up along the way.""",2
Scabies,"""I've been feeling extra itchy lately, especially on my inner thighs and abdomen. I'm on medication for my immune system, so I'm worried it might be a fungal infection or something else.""",1
Scabies,"""I've been treating a patient with scabies lately, and now I'm starting to get itchy myself, especially on my wrists and inside my elbows. Could I have caught it from them?""",2
Scabies,"""Coach, I've been having this intense itching between my fingers and toes lately. It's starting to affect my training, and I'm worried it might be contagious. What should I do?""",1
Scabies,"""Mommy, my hands and arms itch like crazy! I can't stop scratching, and it makes me cry. Is there something wrong with my skin?""",2
Scabies,"""Hey doc, I have this intense itching all over my body, especially between my fingers and toes. It's driving me nuts! I've tried everything to stop scratching, but it just gets worse at night.""",1
Scabies,"`` I 'm due inch angstrom unit few weeks , and iodin 've got this awful itching all over my belly and breasts . It 's keeping me up at night , and I 'm worried about passing information technology on to the infant . What could it be ? ''",0
