Disease name,Text,cluster
Shingles (Herpes Zoster),"""I'm usually active and healthy, but I've been feeling exhausted and feverish. Now, I have this red, bumpy rash on my leg that's starting to spread. It's not like any insect bite I've ever seen, and it's really worrying me.""",2
Shingles (Herpes Zoster),"""I'm usually healthy, but I've been feeling run down lately. Now, I have this red, itchy rash on my neck that's starting to spread. It's making me self-conscious and uncomfortable, and I don't know what's causing it.""",2
Shingles (Herpes Zoster),"""I've been feeling generally unwell for a few days, with a fever and fatigue. Now, I have this painful rash on my forehead that's making my eye feel sensitive. It's like a line of blisters that's just getting bigger.""",0
Shingles (Herpes Zoster),"""Doctor, I have this burning rash on my right side, near my ribs. It's red and blistering, and it feels like someone is constantly poking needles into my skin. It's also very painful, especially when I try to touch it.""",1
Shingles (Herpes Zoster),"""My back has been killing me lately, especially on one side. I thought it was just a pulled muscle, but now I see this red, itchy rash developing. It's not like anything I've seen before, and it's definitely not getting better.""",0
Shingles (Herpes Zoster),"""I've had this strange tingling and itching on my left shoulder for a couple of days. Now, it's turned into a red, bumpy rash that's spreading down my arm. It's so uncomfortable, and I'm worried it might be something contagious.""",1
Shingles (Herpes Zoster),"Shingles, caused by the varicella-zoster virus (the same virus that causes chickenpox), typically starts with a tingling, burning, or stabbing pain in a specific area on one side of the body. This often precedes the appearance of a red rash, which develops into fluid-filled blisters. The rash follows a dermatomal pattern, resembling a band or strip along the nerves. Other symptoms include itching, sensitivity to touch, and sometimes fever, headache, or fatigue. Pain can range from mild to intense and may persist even after the rash disappears. Prompt medical attention is crucial to manage symptoms and reduce the risk of complications.",1
Shingles (Herpes Zoster),"""I'm a teacher, and I'm constantly exposed to sick kids. Now, I have this burning rash on my back that's making it hard to move around. I'm worried I might be contagious and put my students at risk.""",1
Shingles (Herpes Zoster),"""I'm pregnant and have been feeling under the weather. Now, I have this burning rash on my stomach that's making me nervous. I'm worried it might harm the baby, and I don't know what to do.""",2
Shingles (Herpes Zoster),"""I'm a biker, and I noticed this strange rash on my chest after a long ride. It's red and blistering, and it hurts like crazy when I put on my leather jacket. I thought it was just chafing, but now I'm concerned.""",0
Shingles (Herpes Zoster),"""I haven't been sleeping well, and I have this constant pain in my eye. Now, I see this red, crusty rash on my forehead that's making my vision blurry. I'm worried I might be getting blind.""",1
Shingles (Herpes Zoster),"`` iodin 've be feeling generally unwell for angstrom few days , with a fever and tiredness . Now , I have this painful efflorescence on my forehead that 's making my eye feel sensitive . It 's like a line of blisters that 's just getting bigger . ''",0
Shingles (Herpes Zoster),"`` I 've be feeling mostly unwell for a few years , with a febrility and tiredness . Now , iodin have this painful rash on my brow that 's making my oculus feel spiritualist . It 's like angstrom unit line of blisters that 's just acquiring larger . ''",0
Shingles (Herpes Zoster),"`` I 've been feeling generally unwell for a few years , with a pyrexia and fatigue . Now , iodin have this painful rash on my forehead that 's making my eye feel sensitive . It 's like a line of blisters that 's just getting bigger . ''",0
Shingles (Herpes Zoster),"`` My back has be killing me late , specially on one side . I thought it was just a pulled muscle , but now iodin see this red , itchy roseola development . information technology 's not the likes of anything iodin 've seen before , and it 's definitely not acquiring better . ''",0
Shingles (Herpes Zoster),"`` My dorsum has be killing me lately , peculiarly on one side . I thought it Evergreen State just angstrom pulled muscle , simply now I see this red , itchy roseola development . It 's not like anything I 've seen before , and it 's definitely not getting better . ''",0
Shingles (Herpes Zoster),"`` My back has been violent death me lately , especially on one side . iodin idea information technology was just angstrom pulled muscle , but now iodin see this red , itchy rash developing . information technology 's not like anything iodin 've see earlier , and it 's in spades not getting better . ''",0
Shingles (Herpes Zoster),"`` I 'm a biker , and iodine discover this unusual skin rash on my pectus after a long drive . information technology 's red and blistering , and information technology hurts like looney when I put on my leather jacket . I thought it WA just chafing , but now I 'm bear on . ''",0
Shingles (Herpes Zoster),"`` I 'm a biker , and I noticed this unusual skin rash on my chest after a hanker drive . It 's red and vesication , and information technology hurts like nutcase when iodine put option on my leather jacket . I thought information technology Washington just chafing , merely now I 'm concerned . ''",0
Shingles (Herpes Zoster),"`` I 'm a biker , and I noticed this strange efflorescence on my chest after angstrom long ride . information technology 's redness and vesication , and information technology harm like crazy when I put option on my leather jacket . I thought it was just chafing , only now I 'm concerned . ''",0
Shingles (Herpes Zoster),"`` physician , I rich person this combustion efflorescence on my right side , near my ribs . It 's redness and blistering , and it feels like someone be constantly thrusting needle into my cutis . information technology 's also very painful , especially when I try to touch it . ''",1
Shingles (Herpes Zoster),"`` Doctor , I wealthy person this burning skin rash on my right side , near my ribs . information technology 's red and vesication , and it feel like somebody is constantly poking needles into my skin . It 's also very painful , particularly when I try to touch information technology . ''",1
Shingles (Herpes Zoster),"`` Doctor , I have this combustion efflorescence on my right side , near my ribs . It 's red and vesication , and it feel like someone is invariably poking acerate leaf into my skin . information technology 's also very painful , particularly when I try to touching information technology . ''",1
