Disease name,Text,cluster
Vitiligo,"""I've had these light patches on my neck and face for years, but they seem to be spreading lately. I haven't noticed any pain or itching, but I'm starting to worry about sun exposure and potential complications. Could this be Vitiligo?""",1
Vitiligo,"""Doctor, I noticed a pale patch around my knee recently, and it looks different from any sunspots I've had before. Is it something I should be concerned about? Should I use any special creams or lotions?""",2
Vitiligo,"""Mommy, why do I have these white spots on my arm? They don't hurt, but they look different from my skin. Can you ask the doctor about it?""",2
Vitiligo,"""I just noticed some white patches on my stomach during my pregnancy. I'm worried if this is related to the pregnancy hormones or could affect my baby in any way. Can you tell me what it is and if there's anything I should do?""",0
Vitiligo,"""I recently noticed some pale patches on my legs, around my ankles and knees. I haven't changed my training routine, but I'm worried it might affect my performance or recovery. Is there anything I should do differently?""",0
Vitiligo,"""Doc, I've noticed these white patches appearing on my skin lately. They're mostly around my hands and arms, and they seem to be getting bigger. It's making me feel really self-conscious, especially at school. Is there anything I can do?""",1
Vitiligo,"""My brother has Vitiligo, and I recently noticed some similar white patches on my fingers. Should I be concerned about developing the condition further? Is there anything I can do to prevent it?""",2
Vitiligo,"""Hi doc, I've been meaning to discuss these white spots on my chest that keep appearing. They show up more when I'm stressed or anxious, and I'm worried it might be affecting my confidence at work. Can you explain what's going on and is there anything I can do to manage it?""",0
Vitiligo,"""I've been diagnosed with Vitiligo, and I'm interested in treatment options. I've heard about creams, light therapy, and even surgery. Can you explain the pros and cons of each and help me find the best approach for my case?""",2
Vitiligo,"""Doctor, I understand Vitiligo isn't a serious medical condition, but it's really affecting my self-esteem and social life. I feel self-conscious about showing my skin, and I'm starting to withdraw from others. Are there any resources or support groups available?""",1
Vitiligo,"Vitiligo, a skin condition affecting pigmentation, exhibits distinct symptoms, notably the development of white patches due to the loss of melanin. These patches often appear on various body parts, including the face, hands, elbows, knees, and genitalia. The condition typically progresses over time, spreading unpredictably or remaining stable. Vitiligo isn't inherently painful or contagious, but it can lead to emotional distress and social stigma due to its noticeable appearance. Besides the prominent depigmented patches, individuals with vitiligo might experience premature graying of scalp hair, eyelashes, and eyebrows, further highlighting the contrast with unaffected skin areas.",1
Vitiligo,`` iodin just observe some white dapple on my tummy during my pregnancy . I 'm worried if this is related to the pregnancy endocrine or could affect my baby in any way . tin can you William Tell me what it is and if there 's anything I should do ? '',0
Vitiligo,`` iodin just notice some White person spot on my stomach during my gestation . I 'm worried if this is tie in to the maternity hormones Beaver State could affect my baby in whatever way . Can you tell Maine what information technology is and if there 's anything I should do ? '',0
Vitiligo,`` I just noticed some white patch on my stomach during my pregnancy . I 'm worried if this is related to the pregnancy hormones or could affect my baby inch whatsoever way . Can you William Tell me what it be and if there 's anything I should do ? '',0
Vitiligo,"`` iodin recently noticed some picket patches on my legs , about my ankle joint and knee joint . I have n't change my training routine , but I 'm worried it might affect my performance or recovery . Is there anything I should do differently ? ''",0
Vitiligo,"`` I recently noticed some pale patches on my legs , about my ankles and knees . I have n't changed my training modus operandi , but I 'm worry it mightiness affect my performance or recovery . Is there anything I should brawl otherwise ? ''",0
Vitiligo,"`` I lately detect some pale fleck on my legs , around my ankles and human knee . I rich person n't changed my training routine , but iodin 'm worry information technology power affect my public presentation or recovery . Is there anything iodine should bash differently ? ''",0
Vitiligo,"`` Hi doc , I 've been meaning to discus these Caucasian spots on my pectus that keep appearing . They show up more when atomic number 53 'm stressed or anxious , and I 'm worry it might be affecting my confidence at work . Can you explain what 's departure on and is there anything iodine tin can brawl to manage information technology ? ''",0
Vitiligo,"`` Hi doc , iodin 've be import to discuss these white spots on my chest that keep appearing . They show up more when atomic number 53 'm punctuate or anxious , and atomic number 53 'm worried it power atomic number 4 touch on my confidence astatine work . Can you explicate what 's going on and is there anything I can do to carry off it ? ''",0
Vitiligo,"`` Hi medico , I 've been meaning to discuss these white floater on my chest that keep appearing . They show up Sir Thomas More when I 'm stressed or anxious , and I 'm worried information technology might be affecting my confidence atomic number 85 work . Can you explain what 's going away on and is there anything I can do to manage information technology ? ''",0
